입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
24년 과학화경계시스템 외주정비 용역(창원),육군 탄약지원사령부,133772000,2024-01-30,117668230,87.747,2024-01-31,이주씨스템(주),이복균,홍미선,"서울특별시 영등포구 가마산로90길22, 2층"
24년 과학화경계시스템 외주정비 용역(세종),육군 탄약지원사령부,162445510,2024-01-30,141793898,87.746,2024-01-31,(주)이서,이희순,이희순,"세종특별자치시  한누리대로312-0, 714호 (나성동, 노블비지니스타운)"
24년 과학화경계시스템 외주정비 용역(대전),육군 탄약지원사령부,142000000,2024-01-30,123833617,87.75,2024-01-31,(주)광희테크윈,김광화,양희우,전북특별자치도 김제시 봉남면 신호1길9-0
24년 과학화경계시스템 외주정비 용역(천안),육군 탄약지원사령부,155167860,2024-01-30,136232368,87.746,2024-01-31,주식회사 엠비아테크,김화선,김화선,인천광역시 계양구 평리길103(평동)
24년 과학화경계시스템 외주정비 용역(제천),육군 탄약지원사령부,194715400,2024-01-30,171086583,87.745,2024-01-31,주식회사 유진인프라코어,주경선,김명배,"인천광역시 남동구 함박뫼로347번길162, 404호 (남촌동)"
24년 과학화경계시스템 외주정비 용역(충주),육군 탄약지원사령부,143849900,2024-01-30,124565074,87.784,2024-01-31,주식회사 한강아이씨티(ICT),우보희,우보희,전라남도 목포시 대양산단로149번길24 (대양동)
24년 과학화경계시스템 외주정비 용역(영동),육군 탄약지원사령부,170000000,2024-01-30,148946446,87.745,2024-01-31,주식회사 디케이앤트,양동국,김미령,"서울특별시 송파구 송파대로20길4, 302호 (문정동, 헤브론빌딩)"
24년 일반폐기물처리용역(대구),제6335부대,139333333,2024-01-30,116965900,84.285,2024-01-30,주식회사 아진기업,박영균,성명훈,경상남도 김해시 한림면 김해대로1102-171
24년 일반폐기물처리용역(장성),제6335부대,131137254,2024-01-30,110730670,84.308,2024-01-30,주식회사 에코비트에너지세종,장태성,윤명근,세종특별자치시  전동면 솔티로341-0
24년 일반폐기물처리용역(김해),제6335부대,80000000,2024-01-30,67814800,84.449,2024-01-30,주식회사 케이엘,최창옥,정진아,"전라남도 순천시 연향번영8길21, 2층 (연향동)"
24년 일반폐기물처리용역(대전),제6335부대,181176470,2024-01-30,153312000,84.511,2024-01-30,(주)동양환경,채상협,심민기,대전광역시 대덕구 문평동로48번길 125(문평동)
2024년 방위사업청 소식지 및 웹진 제작,방위사업청(운영지원과),0,2024-01-30,126720000,86.794,2024-04-17,경성문화사,박진태,유다흰,"서울특별시 영등포구 국회대로66길 11, 퍼스텍빌딩 1층(여의도동)"
24년 청수 수송 용역,해군군수사령부,50000000,2024-01-30,43840500,88.223,2024-01-30,인천항운주식회사,구본명,이순영,인천광역시 중구 연안부두로17-2 (항동7가)
24년 M콘텐츠 유지보수 용역,국방출판지원단,42630000,2024-01-30,37577497,88.207,2024-01-30,경동아이티 주식회사,공대훈,소수림,"부산광역시 사상구 새벽로131, 5동 2층 229,230호 (감전동, 부산산업용재상가)"
24년 충성대 신문 제작 용역,육군3사관학교,42000000,2024-01-31,40524000,96.244,2024-01-31,원컴,서원오,서원오,"대구광역시 중구 대봉로 238,  3층(대봉동)"
24년 도하장비 외주정비 용역(서울  인천  경기권역),제5378부대,190000000,2024-01-31,167160000,87.837,2024-01-31,주식회사 룩스그린,김권호,김성웅,경기도 화성시 서신면 화남공단로114-13
24년 음식물류 폐기물 처리용역,제8278부대,157198090,2024-01-31,132781550,84.246,2024-02-01,천성환경,신정훈,김남경,경기도 부천시 부일로326-0 (중동) 2층 1-(722)호
